index,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,tarr,VoT,WtS,delay_value,delta,true_u,u,ride_id,ttrav_sh,u_sh,kind,position
19,id2181023,2016-01-03 16:03:06,2016-01-03 16:15:11,725,42432436,42437333,0,3667,186,611,id2181023,2016-01-03 17:04:13,0.00444,1.14756,1,461.21032074634496,8.21334,8.21334,2674,845,7.297686012,40,1
20,id0662746,2016-01-03 16:03:21,2016-01-03 16:19:11,950,42443975,42428411,0,5221,201,870,id0662746,2016-01-03 17:30:22,0.00444,1.14756,1,656.6527899854262,11.6943,11.6943,1408,1021,10.0019262648,32,0
21,id2240516,2016-01-03 16:03:22,2016-01-03 16:11:29,487,42436486,42443388,0,3755,202,625,id2240516,2016-01-03 17:05:57,0.00444,1.14756,1,472.36357187470867,8.4075,8.4075,2213,832,8.10248514,32,0
22,id0848632,2016-01-03 16:03:24,2016-01-03 16:09:58,394,42444991,42440012,0,1753,204,292,id0848632,2016-01-03 16:32:37,0.00444,1.14756,1,220.4916038070906,3.92598,3.92598,22,292,3.92598,1,0
23,id2742975,2016-01-03 16:03:33,2016-01-03 16:07:41,248,42428179,42440326,0,1134,213,189,id2742975,2016-01-03 16:22:27,0.00444,1.14756,1,142.62018025554576,2.54016,2.54016,23,189,2.54016,1,0
24,id2806352,2016-01-03 16:03:38,2016-01-03 16:11:39,481,42430367,6177439759,0,1495,218,249,id2806352,2016-01-03 16:28:33,0.00444,1.14756,1,188.0436262886331,3.3480600000000003,3.3480600000000003,2157,326,3.3198143016,32,2
25,id2005693,2016-01-03 16:03:50,2016-01-03 16:06:56,186,42447235,42429338,0,1637,230,272,id2005693,2016-01-03 16:31:07,0.00444,1.14756,1,205.9883145720226,3.6631799999999997,3.6631799999999997,798,272,2.8276322495999997,21,1
26,id2583749,2016-01-03 16:04:28,2016-01-03 16:13:28,540,42430361,42447020,0,1808,268,301,id2583749,2016-01-03 16:34:36,0.00444,1.14756,1,227.43023929503073,4.04844,4.04844,2157,315,3.4832319720000005,32,1
27,id2919371,2016-01-03 16:04:34,2016-01-03 16:12:37,483,42435257,1061531634,0,1327,274,221,id2919371,2016-01-03 16:26:41,0.00444,1.14756,1,166.9147106952189,2.97174,2.97174,986,221,2.8600809024,21,1
28,id0251258,2016-01-03 16:04:36,2016-01-03 16:10:40,364,42436913,42443054,0,2150,276,358,id0251258,2016-01-03 16:40:26,0.00444,1.14756,1,270.44267461019524,4.81452,4.81452,1417,358,3.9970378752,30,2
29,id1368948,2016-01-03 16:04:44,2016-01-03 16:17:09,745,42439440,42434148,0,3507,284,584,id1368948,2016-01-03 17:03:11,0.00444,1.14756,1,441.13040594709537,7.85346,7.85346,2674,762,7.7126784840000004,40,3
30,id2451894,2016-01-03 16:05:13,2016-01-03 16:08:36,203,42450057,42445843,0,551,313,91,id2451894,2016-01-03 16:14:24,0.00444,1.14756,1,69.40496734316666,1.23054,1.23054,30,91,1.23054,1,0
31,id2161909,2016-01-03 16:05:34,2016-01-03 16:11:36,362,561042195,42430356,0,1414,334,235,id2161909,2016-01-03 16:29:08,0.00444,1.14756,1,177.92076349066832,3.1644,3.1644,31,235,3.1644,1,0
32,id3634010,2016-01-03 16:06:00,2016-01-03 16:10:23,263,42436486,42446026,0,1207,360,201,id3634010,2016-01-03 16:26:07,0.00444,1.14756,1,151.8226281284945,2.70294,2.70294,1417,230,2.6223210768,30,0
33,id2426918,2016-01-03 16:06:08,2016-01-03 16:08:25,137,42430052,42436539,0,1150,368,191,id2426918,2016-01-03 16:25:18,0.00444,1.14756,1,144.71818184387465,2.57304,2.57304,1417,206,2.4980484144000004,30,1
34,id0250296,2016-01-03 16:06:11,2016-01-03 16:18:50,759,42431661,42428491,0,5153,371,858,id0250296,2016-01-03 17:32:04,0.00444,1.14756,1,648.1863337770479,11.53902,11.53902,2804,1063,9.2860070496,41,1
35,id1270105,2016-01-03 16:06:12,2016-01-03 16:22:29,977,42430154,42432825,0,5343,372,890,id1270105,2016-01-03 17:35:15,0.00444,1.14756,1,672.0392692179789,11.9661,11.9661,1824,1041,10.707393816,31,1
36,id2596664,2016-01-03 16:06:29,2016-01-03 16:12:14,345,42454701,42429338,0,1268,389,211,id2596664,2016-01-03 16:27:37,0.00444,1.14756,1,159.51586774477082,2.8388400000000003,2.8388400000000003,2213,225,2.1916730184,32,1
37,id1927454,2016-01-03 16:06:35,2016-01-03 16:13:50,435,42437445,42428575,0,2284,395,380,id1927454,2016-01-03 16:44:39,0.00444,1.14756,1,287.3383620994204,5.1132,5.1132,1725,499,4.846527336,30,1
38,id0778166,2016-01-03 16:06:50,2016-01-03 16:18:03,673,42422006,42455693,0,3095,410,515,id0778166,2016-01-03 16:58:25,0.00444,1.14756,1,389.35711775772427,6.9291,6.9291,1522,617,6.3642645384000005,30,0
39,id1675181,2016-01-03 16:06:55,2016-01-03 16:15:57,542,42430068,42449928,0,3601,415,600,id1675181,2016-01-03 17:06:56,0.00444,1.14756,1,452.9096753346467,8.0655,8.0655,2804,947,7.755155068800001,41,0
40,id0128151,2016-01-03 16:06:59,2016-01-03 16:09:23,144,42455007,42449886,0,881,419,146,id0128151,2016-01-03 16:21:40,0.00444,1.14756,1,110.90819440165879,1.9697399999999998,1.9697399999999998,40,146,1.9697399999999998,1,0
41,id1835816,2016-01-03 16:07:01,2016-01-03 16:25:55,1134,1061531550,42430288,0,4887,421,814,id1835816,2016-01-03 17:28:28,0.00444,1.14756,1,614.6893554644261,10.94466,10.94466,1522,1088,10.1641347432,30,1
42,id0309504,2016-01-03 16:07:16,2016-01-03 16:29:54,1358,42436947,7802856352,0,6480,436,1080,id0309504,2016-01-03 17:55:16,0.00444,1.14756,1,814.9724586031185,14.5152,14.5152,3160,1265,12.3677276904,42,1
43,id2264646,2016-01-03 16:07:17,2016-01-03 16:19:16,719,42445888,42454701,0,4743,437,790,id2264646,2016-01-03 17:26:20,0.00444,1.14756,1,596.5788563843568,10.6221,10.6221,2640,892,8.1632804256,40,1
44,id3981345,2016-01-03 16:07:28,2016-01-03 16:10:54,206,596775946,42434085,0,1209,448,201,id3981345,2016-01-03 16:27:37,0.00444,1.14756,1,152.11702479432273,2.70594,2.70594,413,216,2.6594872416,20,0
45,id1720073,2016-01-03 16:07:47,2016-01-03 16:10:35,168,42431005,42431034,0,979,467,163,id1720073,2016-01-03 16:24:06,0.00444,1.14756,1,123.14767125171811,2.19222,2.19222,45,163,2.19222,1,0
46,id2005033,2016-01-03 16:07:53,2016-01-03 16:16:29,516,1825841655,42443353,0,2619,473,436,id2005033,2016-01-03 16:51:32,0.00444,1.14756,1,329.44899495333465,5.86434,5.86434,986,543,5.5461519792,21,0
47,id2010748,2016-01-03 16:08:06,2016-01-03 16:21:59,833,42455357,42428436,0,2629,486,438,id2010748,2016-01-03 16:51:55,0.00444,1.14756,1,330.66380654417884,5.8882200000000005,5.8882200000000005,1636,454,5.0492305056,32,2
48,id1052506,2016-01-03 16:08:11,2016-01-03 16:26:10,1079,42430304,42443044,0,5665,491,944,id1052506,2016-01-03 17:42:36,0.00444,1.14756,1,712.4934954823066,12.688860000000002,12.688860000000002,2324,1277,11.3743402104,31,0
49,id3062653,2016-01-03 16:08:13,2016-01-03 16:18:08,595,42429664,42436784,0,2453,493,408,id3062653,2016-01-03 16:49:06,0.00444,1.14756,1,308.6144760257487,5.491020000000001,5.491020000000001,1636,509,4.794946512,32,0
50,id2887356,2016-01-03 16:08:18,2016-01-03 16:26:18,1080,42430903,4461990857,0,3357,498,559,id2887356,2016-01-03 17:04:15,0.00444,1.14756,1,422.2653027386898,7.51746,7.51746,1650,635,6.341672383200001,30,0
51,id1510784,2016-01-03 16:08:39,2016-01-03 16:12:34,235,42430782,42431614,0,1765,519,294,id1510784,2016-01-03 16:38:04,0.00444,1.14756,1,222.00081206376305,3.9528600000000003,3.9528600000000003,51,294,3.9528600000000003,1,0
52,id3700914,2016-01-03 16:08:48,2016-01-03 16:18:10,562,42439440,42430861,0,2395,528,399,id3700914,2016-01-03 16:48:43,0.00444,1.14756,1,301.23424553906625,5.36406,5.36406,2674,414,5.1310364088,40,2
53,id0257995,2016-01-03 16:08:49,2016-01-03 16:20:03,674,4015192929,42439001,0,3820,529,636,id0257995,2016-01-03 17:12:29,0.00444,1.14756,1,480.517018953493,8.553840000000001,8.553840000000001,457,767,7.017560616,20,0
54,id0780722,2016-01-03 16:08:57,2016-01-03 16:21:30,753,42427477,42440463,0,3916,537,652,id0780722,2016-01-03 17:14:13,0.00444,1.14756,1,492.59068500687243,8.76888,8.76888,1017,745,7.9735719864,21,0
55,id3567923,2016-01-03 16:09:11,2016-01-03 16:21:53,762,42439272,42428371,0,3961,551,660,id3567923,2016-01-03 17:15:12,0.00444,1.14756,1,498.18592303481984,8.8719,8.8719,1408,770,7.7933249976,32,1
56,id1158457,2016-01-03 16:09:21,2016-01-03 16:22:43,802,42451787,42429338,0,5678,561,946,id1158457,2016-01-03 17:43:59,0.00444,1.14756,1,714.149902071893,12.71724,12.71724,2552,961,10.8847639032,31,1
57,id1844940,2016-01-03 16:09:22,2016-01-03 16:15:36,374,42428029,42427965,0,1786,562,297,id1844940,2016-01-03 16:39:08,0.00444,1.14756,1,224.706219447514,3.99768,3.99768,57,297,3.99768,1,0
59,id1439460,2016-01-03 16:09:36,2016-01-03 16:13:27,231,42443388,42428678,0,1228,576,204,id1439460,2016-01-03 16:30:04,0.00444,1.14756,1,154.5280355122455,2.7477600000000004,2.7477600000000004,58,204,2.7477600000000004,1,0
58,id3680047,2016-01-03 16:09:36,2016-01-03 16:15:55,379,42449956,42445390,0,1728,576,288,id3680047,2016-01-03 16:38:24,0.00444,1.14756,1,217.3259889608316,3.8707200000000004,3.8707200000000004,2804,288,3.6805378751999998,41,3
60,id1718066,2016-01-03 16:09:53,2016-01-03 16:18:18,505,42430154,4443775464,0,2986,593,497,id1718066,2016-01-03 16:59:39,0.00444,1.14756,1,375.62704511475823,6.68568,6.68568,1824,497,6.4226316144,31,2
61,id0966514,2016-01-03 16:10:25,2016-01-03 16:23:57,812,42427985,1061531429,0,2838,625,473,id0966514,2016-01-03 16:57:43,0.00444,1.14756,1,356.9277527030324,6.35712,6.35712,1725,555,5.5371663216,30,0
62,id1419673,2016-01-03 16:10:26,2016-01-03 16:22:22,716,42433567,42428045,0,3490,626,581,id1419673,2016-01-03 17:08:36,0.00444,1.14756,1,439.0137918950008,7.814640000000001,7.814640000000001,62,581,7.814640000000001,1,0
63,id3365729,2016-01-03 16:10:31,2016-01-03 16:20:05,574,42431674,42442422,0,2132,631,355,id3365729,2016-01-03 16:46:03,0.00444,1.14756,1,268.1788622251866,4.7742,4.7742,1725,527,4.4421028512,30,2
64,id0457449,2016-01-03 16:10:59,2016-01-03 16:20:00,541,42458267,42433278,0,2149,659,358,id0457449,2016-01-03 16:46:48,0.00444,1.14756,1,270.2954762772811,4.81302,4.81302,175,366,4.6026126768,20,1
65,id2498070,2016-01-03 16:11:06,2016-01-03 16:17:25,379,42440453,42436917,0,2488,666,414,id2498070,2016-01-03 16:52:34,0.00444,1.14756,1,312.9949024628519,5.5701600000000004,5.5701600000000004,2324,414,5.1498347448,31,2
66,id1547498,2016-01-03 16:11:30,2016-01-03 16:25:51,861,42454192,1061531787,0,3372,690,562,id1547498,2016-01-03 17:07:42,0.00444,1.14756,1,424.0875201249561,7.55328,7.55328,1727,723,6.8497011072,31,0
67,id0897907,2016-01-03 16:11:52,2016-01-03 16:27:29,937,42439280,42453365,0,4064,712,677,id0897907,2016-01-03 17:19:36,0.00444,1.14756,1,511.1613915494497,9.101880000000001,9.101880000000001,1636,975,8.7698718672,32,1
68,id0484578,2016-01-03 16:11:57,2016-01-03 16:15:09,192,1825841655,42440020,0,572,717,95,id0484578,2016-01-03 16:21:29,0.00444,1.14756,1,71.9817888577692,1.2798,1.2798,68,95,1.2798,1,0
69,id2665242,2016-01-03 16:12:01,2016-01-03 16:14:36,155,596776057,42431671,0,624,721,104,id2665242,2016-01-03 16:22:25,0.00444,1.14756,1,78.47882934696696,1.3977600000000001,1.3977600000000001,69,104,1.3977600000000001,1,0
70,id0867453,2016-01-03 16:12:02,2016-01-03 16:22:02,600,5131026388,5849918502,0,2729,722,454,id0867453,2016-01-03 16:57:31,0.00444,1.14756,1,343.3262659292148,6.10926,6.10926,1650,470,4.9943037623999995,30,1
71,id0522030,2016-01-03 16:12:08,2016-01-03 16:23:19,671,6177439759,5849918504,0,2837,728,472,id0522030,2016-01-03 16:59:25,0.00444,1.14756,1,356.9091402392667,6.351179999999999,6.351179999999999,3382,516,5.1160650936,40,0
72,id2287802,2016-01-03 16:12:24,2016-01-03 16:16:55,271,42447007,42434090,0,1335,744,222,id2287802,2016-01-03 16:34:39,0.00444,1.14756,1,167.96371148938334,2.98818,2.98818,413,222,2.860985736,20,1
73,id2357883,2016-01-03 16:12:27,2016-01-03 16:18:34,367,42430394,42446987,0,1666,747,277,id2357883,2016-01-03 16:40:13,0.00444,1.14756,1,209.6141368807896,3.72888,3.72888,789,277,3.6493233743999998,21,1
74,id2952792,2016-01-03 16:12:35,2016-01-03 16:19:31,416,42446701,42430324,0,870,755,145,id2952792,2016-01-03 16:27:05,0.00444,1.14756,1,109.41759860875203,1.9487999999999999,1.9487999999999999,74,145,1.9487999999999999,1,0
75,id3273581,2016-01-03 16:12:37,2016-01-03 16:19:26,409,42456049,4163883691,0,3115,757,519,id3273581,2016-01-03 17:04:32,0.00444,1.14756,1,391.78674093941277,6.97686,6.97686,1062,533,5.4188256720000005,21,0
76,id1210637,2016-01-03 16:12:39,2016-01-03 16:20:02,443,42429342,7106818626,0,2060,759,343,id1210637,2016-01-03 16:46:59,0.00444,1.14756,1,259.123612685152,4.61292,4.61292,2213,342,4.3498891032,32,2
77,id2440038,2016-01-03 16:12:41,2016-01-03 16:20:22,461,42442961,42440325,0,3254,761,542,id2440038,2016-01-03 17:06:55,0.00444,1.14756,1,409.2898342240599,7.28748,7.28748,2804,732,7.1382434208,41,2
78,id0307333,2016-01-03 16:12:47,2016-01-03 16:14:57,130,42444424,42431877,0,617,767,102,id0307333,2016-01-03 16:23:04,0.00444,1.14756,1,77.70561275486509,1.37838,1.37838,78,102,1.37838,1,0
79,id0628124,2016-01-03 16:12:59,2016-01-03 16:19:03,364,42428458,42429832,0,1888,779,314,id0628124,2016-01-03 16:44:27,0.00444,1.14756,1,237.53448962922977,4.22616,4.22616,1408,314,3.6145643015999998,32,2
80,id0576091,2016-01-03 16:13:09,2016-01-03 16:15:25,136,42436527,42449991,0,850,789,141,id0576091,2016-01-03 16:27:19,0.00444,1.14756,1,106.98797542706357,1.90104,1.90104,80,141,1.90104,1,0
81,id2053253,2016-01-03 16:13:18,2016-01-03 16:25:57,759,42443528,42442843,0,4292,798,715,id2053253,2016-01-03 17:24:50,0.00444,1.14756,1,539.8363484262261,9.6126,9.6126,1306,736,7.667080267199999,30,2
82,id2385608,2016-01-03 16:13:19,2016-01-03 16:35:58,1359,42439249,1061531448,0,6386,799,1064,id2385608,2016-01-03 17:59:45,0.00444,1.14756,1,803.1931892155673,14.303160000000002,14.303160000000002,3160,1114,10.967389260000001,42,2
83,id3144312,2016-01-03 16:13:21,2016-01-03 16:17:59,278,42432847,42452353,0,1265,801,210,id3144312,2016-01-03 16:34:26,0.00444,1.14756,1,159.20285861517692,2.8299000000000003,2.8299000000000003,3382,240,2.184327852,40,1
84,id0750996,2016-01-03 16:13:25,2016-01-03 16:22:32,547,42429645,42449928,0,3308,805,551,id0750996,2016-01-03 17:08:33,0.00444,1.14756,1,416.0812713790859,7.408440000000001,7.408440000000001,2994,566,6.7405591103999996,42,2
85,id0796987,2016-01-03 16:13:35,2016-01-03 16:18:50,315,42430311,4491359481,0,899,815,149,id0796987,2016-01-03 16:28:34,0.00444,1.14756,1,113.17200678666747,2.01006,2.01006,85,149,2.01006,1,0
86,id1171774,2016-01-03 16:14:03,2016-01-03 16:22:48,525,42442935,42443048,0,4799,843,799,id1171774,2016-01-03 17:34:02,0.00444,1.14756,1,603.664690205211,10.74606,10.74606,2324,967,9.700711764,31,1
87,id0819814,2016-01-03 16:14:04,2016-01-03 16:38:09,1445,42427786,561035354,0,9889,844,1648,id0819814,2016-01-03 18:58:53,0.00444,1.14756,1,1243.7348018310063,22.150620000000004,22.150620000000004,3160,1690,16.738356928800002,42,3
88,id3653727,2016-01-03 16:14:06,2016-01-03 16:19:26,320,42428328,42434439,0,1669,846,278,id3653727,2016-01-03 16:41:55,0.00444,1.14756,1,209.92714601038347,3.73782,3.73782,88,278,3.73782,1,0
89,id3900021,2016-01-03 16:14:27,2016-01-03 16:20:22,355,4288677093,42452956,0,2227,867,371,id3900021,2016-01-03 16:51:34,0.00444,1.14756,1,280.1053299456521,4.9877400000000005,4.9877400000000005,2640,441,3.9681700464,40,3
90,id2775443,2016-01-03 16:15:06,2016-01-03 16:18:48,222,42446016,42443280,0,1567,906,261,id2775443,2016-01-03 16:41:13,0.00444,1.14756,1,197.09887582866773,3.50934,3.50934,1727,261,3.1623648959999997,31,2
91,id1197074,2016-01-03 16:15:13,2016-01-03 16:29:37,864,42432818,42449067,0,3674,913,612,id1197074,2016-01-03 17:16:27,0.00444,1.14756,1,462.11212320759535,8.22828,8.22828,1306,626,7.9729503936,30,1
92,id1162344,2016-01-03 16:15:18,2016-01-03 16:17:43,145,42446472,4163883691,0,1460,918,243,id1162344,2016-01-03 16:39:38,0.00444,1.14756,1,183.6631998515299,3.26892,3.26892,1062,243,2.6235499200000003,21,1
93,id3967490,2016-01-03 16:15:38,2016-01-03 16:28:41,783,42440153,42435422,0,2106,938,351,id3967490,2016-01-03 16:50:44,0.00444,1.14756,1,264.8660490460135,4.71744,4.71744,3382,531,4.471006932,40,3
95,id2275573,2016-01-03 16:15:44,2016-01-03 16:24:32,528,42430745,42432847,0,2145,944,357,id2275573,2016-01-03 16:51:29,0.00444,1.14756,1,269.83526881477314,4.80258,4.80258,94,357,4.80258,1,0
94,id3271171,2016-01-03 16:15:44,2016-01-03 16:21:18,334,42431656,42432871,0,1222,944,203,id3271171,2016-01-03 16:36:06,0.00444,1.14756,1,153.77343138390927,2.7343200000000003,2.7343200000000003,95,203,2.7343200000000003,1,0
96,id3130634,2016-01-03 16:15:51,2016-01-03 16:33:12,1041,42446013,42452365,0,4048,951,674,id3130634,2016-01-03 17:23:19,0.00444,1.14756,1,509.1919758302693,9.06456,9.06456,1727,851,8.0649292368,31,1
97,id3791331,2016-01-03 16:15:56,2016-01-03 16:23:51,475,42440459,42435657,0,2361,956,393,id3791331,2016-01-03 16:55:17,0.00444,1.14756,1,297.00101743487716,5.286420000000001,5.286420000000001,3382,472,4.5654487704,40,2
98,id3096765,2016-01-03 16:16:04,2016-01-03 16:24:22,498,42455007,42455013,0,379,964,63,id3096765,2016-01-03 16:22:23,0.00444,1.14756,1,47.68725841809602,0.84822,0.84822,98,63,0.84822,1,0
99,id2985428,2016-01-03 16:16:09,2016-01-03 16:23:20,431,596776156,596776654,0,2882,969,480,id2985428,2016-01-03 17:04:11,0.00444,1.14756,1,362.50437826721424,6.4542,6.4542,783,480,5.883519055200001,21,1
100,id0789225,2016-01-03 16:16:16,2016-01-03 16:32:05,949,42453952,42428287,0,5439,976,906,id0789225,2016-01-03 17:46:55,0.00444,1.14756,1,684.1129352713584,12.18114,12.18114,1824,997,10.840535812799999,31,0
101,id3967102,2016-01-03 16:16:44,2016-01-03 16:20:44,240,42442948,4288677093,0,1184,1004,197,id3967102,2016-01-03 16:36:28,0.00444,1.14756,1,148.9514099480637,2.6506800000000004,2.6506800000000004,101,197,2.6506800000000004,1,0
102,id0252270,2016-01-03 16:17:02,2016-01-03 16:29:32,750,42445910,42449985,0,2627,1022,437,id0252270,2016-01-03 17:00:49,0.00444,1.14756,1,330.4979957474991,5.880780000000001,5.880780000000001,2640,452,5.7610538016,40,2
103,id2332960,2016-01-03 16:17:24,2016-01-03 16:20:26,182,42428653,42442422,0,1027,1044,171,id2332960,2016-01-03 16:34:31,0.00444,1.14756,1,129.18450427840787,2.29974,2.29974,103,171,2.29974,1,0
104,id2354072,2016-01-03 16:17:47,2016-01-03 16:26:24,517,42437654,42434355,0,2201,1067,366,id2354072,2016-01-03 16:54:28,0.00444,1.14756,1,276.9211026356274,4.92654,4.92654,1650,508,4.6645409256,30,2
105,id3691153,2016-01-03 16:18:36,2016-01-03 16:34:08,932,42438155,42438889,0,6561,1116,1093,id3691153,2016-01-03 18:07:57,0.00444,1.14756,1,825.2239072702316,14.694420000000001,14.694420000000001,2994,1274,12.7571159232,42,0
106,id3036305,2016-01-03 16:18:41,2016-01-03 16:22:12,211,42445543,4597668026,0,997,1121,166,id3036305,2016-01-03 16:35:18,0.00444,1.14756,1,125.41148363672677,2.23254,2.23254,106,166,2.23254,1,0
107,id3613473,2016-01-03 16:18:46,2016-01-03 16:40:51,1325,42427300,42430375,0,6098,1126,1016,id3613473,2016-01-03 18:00:24,0.00444,1.14756,1,766.9721910554285,13.65804,13.65804,2994,1313,12.659529076800002,42,1
108,id1887882,2016-01-03 16:19:07,2016-01-03 16:29:51,644,5706568771,42443336,0,2461,1147,410,id1887882,2016-01-03 17:00:08,0.00444,1.14756,1,309.5348909507647,5.511900000000001,5.511900000000001,1918,510,5.1907267416,30,0
109,id3852242,2016-01-03 16:19:10,2016-01-03 16:27:06,476,42436511,42437300,0,3025,1150,504,id3852242,2016-01-03 17:09:35,0.00444,1.14756,1,380.46767901436937,6.775259999999999,6.775259999999999,1918,684,6.485000196,30,1
110,id2881538,2016-01-03 16:19:27,2016-01-03 16:25:42,375,42432580,42432700,0,1174,1167,195,id2881538,2016-01-03 16:39:01,0.00444,1.14756,1,147.7365983572195,2.6268000000000002,2.6268000000000002,110,195,2.6268000000000002,1,0
111,id3080854,2016-01-03 16:20:05,2016-01-03 16:27:54,469,42434352,42446562,0,1204,1205,200,id3080854,2016-01-03 16:40:09,0.00444,1.14756,1,151.50961899890063,2.694,2.694,457,200,2.2430287632,20,1
112,id1135974,2016-01-03 16:20:23,2016-01-03 16:25:23,300,42434072,42456568,0,1671,1223,278,id1135974,2016-01-03 16:48:14,0.00444,1.14756,1,210.2215426762117,3.7408200000000003,3.7408200000000003,112,278,3.7408200000000003,1,0
113,id0783821,2016-01-03 16:20:37,2016-01-03 16:35:48,911,42437283,42444500,0,6111,1237,1018,id0783821,2016-01-03 18:02:28,0.00444,1.14756,1,768.6285976450151,13.686419999999998,13.686419999999998,2552,1194,12.3814021752,31,0
114,id1908489,2016-01-03 16:21:05,2016-01-03 16:29:16,491,42455897,42438805,0,3851,1265,641,id1908489,2016-01-03 17:25:16,0.00444,1.14756,1,484.4372379280881,8.62254,8.62254,2552,641,7.3694488488,31,2
115,id0993727,2016-01-03 16:21:27,2016-01-03 16:32:31,664,42437283,42452353,0,2924,1287,487,id0993727,2016-01-03 17:10:11,0.00444,1.14756,1,367.7866071655678,6.54828,6.54828,2994,540,5.1125303472,42,3
